2319501	13623848	2
2319501	58065033	2
2319501	43641	4
2319501	58784475	4
2319501	28187230	4
2319501	40874032	5
2319501	60194162	5
2319501	57693416	4
2319501	21	4
2319501	133518	2
2319501	59364173	5
2319501	40097951	4
2319501	59344312	4
2319501	128029	5
2319501	50623864	3
2319501	39927096	2
2319501	5113	2
2319501	8520610	2
2319501	9418327	5
2319501	37642030	5
2319501	7815	1
2319501	40914165	5
2319501	37570546	4
2319501	53152636	5
2319501	36809135	5
2319501	13079982	2
2319501	28257707	3
2319501	34273236	5
2319501	31434883	5
2319501	35133922	5
2319501	27161156	4
2319501	30288282	4
2319501	10847	5
2319501	33917	3
2319501	14891	2
2319501	10032672	1
2319501	12262741	4
2319501	18007564	5
2319501	386187	4
2319501	9791	2
2319501	8908	4
2319501	1898	4
2319501	4473	2
2319501	77203	5
2319501	14743	5
2319501	890	5
2319501	1044355	5
2319501	6493208	5
2319501	49628	5
2319501	7244	5
2319501	1845	3
2319501	1202	5
2319501	4406	5
2319501	30119	5
2319501	76620	5
2319501	46170	4
2319501	2187	3
2319501	32145	3
2319501	10176	4
2319501	4138	3
2319501	4137	4
2319501	242006	2
2319501	37435	3
2319501	30289	1
2319501	233818	3
2319501	12898	2
2319501	12220	3
2319501	18135	5
2319501	19543	5
2319501	5129	5
2319501	2657	3
2319501	37781	3
2319501	37415	3
2319501	33	4
2319501	7624	3
2319501	11486	3
2319501	6149	2
2319501	1618	3
2319501	4671	2
2319501	4214	4
2319501	5470	4
2319501	5107	3
2319501	4900	1
2319501	168668	5
2319501	662	5
2319501	10799	4
2319501	3876	1
2319501	2165	2
2319501	168642	4
2319501	18114322	4
2319501	29059	4
2319501	5759	5
2319501	4980	3
2319501	4981	5
2319501	70401	5
2319501	6514	3
27010	38746485	5
27010	17333223	5
27010	9361589	3
27010	556602	3
27010	5826	3
27010	13526165	4
27010	3876	2
27010	6837103	4
27010	6493208	5
27010	15745753	4
27010	4667024	5
27010	19288043	4
27010	13335037	3
27010	227711	4
27010	14891	2
27010	88061	3
27010	9418327	4
27010	7937843	3
27010	41865	1
27010	2612	2
27010	13079982	3
27010	5470	4
27010	6148028	3
27010	7260188	3
27010	2767052	4
27010	43641	4
27010	7445	5
27010	7763	2
27010	19063	5
27010	128029	4
27010	49436	2
27010	960	2
27010	2187	4
27010	33313	1
27010	7061	3
27010	2865	4
27010	32234	5
27010	228333	2
27010	19501	5
27010	4588	4
27010	37435	4
27010	4214	4
27010	77203	3
27010	3636	5
27010	29579	4
27010	41804	5
27010	70535	5
27010	5129	2
27010	7624	4
27010	242006	4
27010	9791	2
27010	930	3
27010	3473	1
27010	37415	2
